responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",0,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 17:40:24 -0400","Wed, 25 Mar 2015 17:40:31 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_3_2,"No - they are mostly just a distraction",0,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 17:42:46 -0400","Wed, 25 Mar 2015 17:42:57 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",2,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 17:54:06 -0400","Wed, 25 Mar 2015 17:54:11 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",1,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:09:36 -0400","Wed, 25 Mar 2015 18:09:46 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",1,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:10:44 -0400","Wed, 25 Mar 2015 18:10:54 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_3_2,"No - they are mostly just a distraction",1,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:12:28 -0400","Wed, 25 Mar 2015 18:12:34 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",1,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:13:42 -0400","Wed, 25 Mar 2015 18:13:50 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_3_2,"No - they are mostly just a distraction",2,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:26:39 -0400","Wed, 25 Mar 2015 18:26:45 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_2_2,"Yes - they are important for learning",1,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 18:36:52 -0400","Wed, 25 Mar 2015 18:37:02 -0400"
A37CSK5QI41636,,survey1,q_2_1,"If you were a teacher would you allow students to use comptuers, tablets or other connected devices during class?",0,comp_3_2,"No - they are mostly just a distraction",2,"http://votifi.com/polls/3341","Wed, 25 Mar 2015 19:08:26 -0400","Wed, 25 Mar 2015 19:08:34 -0400"
